"case","theta0","psi_ic_m","time_h","time_day","distance_cm","pH_obs","pH_measurement_sd","prediction"
"theta047","0.47","-16.33394573035923","15.0","0.625","12.5","11.14","0.1077032961426901","11.10739"
"theta047","0.47","-16.33394573035923","15.0","0.625","17.5","11.28","0.1077032961426901","11.288321"
"theta047","0.47","-16.33394573035923","16.000008","0.666667","2.5","3.68","0.1077032961426901","3.7934067"
"theta047","0.47","-16.33394573035923","16.000008","0.666667","7.5","10.82","0.1077032961426901","10.752544"
"theta047","0.47","-16.33394573035923","16.000008","0.666667","12.5","11.08","0.1077032961426901","11.10365"
"theta047","0.47","-16.33394573035923","16.000008","0.666667","17.5","11.30","0.1077032961426901","11.2861185"
"theta047","0.47","-16.33394573035923","16.999992","0.708333","2.5","3.70","0.1077032961426901","3.7621315"
"theta047","0.47","-16.33394573035923","16.999992","0.708333","7.5","10.75","0.1077032961426901","10.74342"
"theta047","0.47","-16.33394573035923","16.999992","0.708333","12.5","11.14","0.1077032961426901","11.099868"
"theta047","0.47","-16.33394573035923","16.999992","0.708333","17.5","11.29","0.1077032961426901","11.283896"
"theta047","0.47","-16.33394573035923","18.0","0.75","2.5","3.69","0.1077032961426901","3.7329595"
"theta047","0.47","-16.33394573035923","18.0","0.75","7.5","10.71","0.1077032961426901","10.734086"
"theta047","0.47","-16.33394573035923","18.0","0.75","12.5","11.15","0.1077032961426901","11.096041"
"theta047","0.47","-16.33394573035923","18.0","0.75","17.5","11.27","0.1077032961426901","11.281652"
"theta047","0.47","-16.33394573035923","19.000008","0.791667","2.5","3.64","0.1077032961426901","3.7056255"
"theta047","0.47","-16.33394573035923","19.000008","0.791667","7.5","10.77","0.1077032961426901","10.724536"
"theta047","0.47","-16.33394573035923","19.000008","0.791667","12.5","11.12","0.1077032961426901","11.092171"
"theta047","0.47","-16.33394573035923","19.000008","0.791667","17.5","11.25","0.1077032961426901","11.279389"
"theta047","0.47","-16.33394573035923","19.999992","0.833333","2.5","3.62","0.1077032961426901","3.6799142"
