"case","theta0","psi_ic_m","time_h","time_day","distance_cm","TotalPb_obs_mol_m3_bulk","TotalPb_measurement_sd","prediction"
"theta020","0.2","-166.9363086307076","120.0","5.0","2.5","2.72","0.1987066148873181","2.722175"
"theta020","0.2","-166.9363086307076","120.0","5.0","7.5","5.84","0.4220790331872058","5.808647"
"theta020","0.2","-166.9363086307076","120.0","5.0","12.5","5.61","0.4055831643817041","5.591617"
"theta020","0.2","-166.9363086307076","120.0","5.0","17.5","5.28","0.3818846681342974","5.273838"
