"case","theta0","psi_ic_m","time_h","time_day","distance_cm","pH_obs","pH_measurement_sd","prediction"
"theta020","0.2","-166.9363086307076","15.0","0.625","12.5","10.82","0.1077032961426901","10.850655"
"theta020","0.2","-166.9363086307076","15.0","0.625","17.5","10.72","0.1077032961426901","10.903086"
"theta020","0.2","-166.9363086307076","16.000008","0.666667","2.5","10.22","0.1077032961426901","10.212558"
"theta020","0.2","-166.9363086307076","16.000008","0.666667","7.5","10.78","0.1077032961426901","10.753404"
"theta020","0.2","-166.9363086307076","16.000008","0.666667","12.5","10.82","0.1077032961426901","10.855646"
"theta020","0.2","-166.9363086307076","16.000008","0.666667","17.5","10.73","0.1077032961426901","10.908306"
"theta020","0.2","-166.9363086307076","16.999992","0.708333","2.5","10.20","0.1077032961426901","10.198311"
"theta020","0.2","-166.9363086307076","16.999992","0.708333","7.5","10.78","0.1077032961426901","10.756864"
"theta020","0.2","-166.9363086307076","16.999992","0.708333","12.5","10.89","0.1077032961426901","10.860566"
"theta020","0.2","-166.9363086307076","16.999992","0.708333","17.5","10.81","0.1077032961426901","10.913464"
"theta020","0.2","-166.9363086307076","18.0","0.75","2.5","10.20","0.1077032961426901","10.183046"
"theta020","0.2","-166.9363086307076","18.0","0.75","7.5","10.84","0.1077032961426901","10.760236"
"theta020","0.2","-166.9363086307076","18.0","0.75","12.5","10.88","0.1077032961426901","10.865416"
"theta020","0.2","-166.9363086307076","18.0","0.75","17.5","10.76","0.1077032961426901","10.918557"
"theta020","0.2","-166.9363086307076","19.000008","0.791667","2.5","10.18","0.1077032961426901","10.166669"
"theta020","0.2","-166.9363086307076","19.000008","0.791667","7.5","10.78","0.1077032961426901","10.763518"
"theta020","0.2","-166.9363086307076","19.000008","0.791667","12.5","10.86","0.1077032961426901","10.8701935"
"theta020","0.2","-166.9363086307076","19.000008","0.791667","17.5","10.78","0.1077032961426901","10.923588"
"theta020","0.2","-166.9363086307076","19.999992","0.833333","2.5","10.20","0.1077032961426901","10.149064"
"theta020","0.2","-166.9363086307076","19.999992","0.833333","7.5","10.81","0.1077032961426901","10.766712"
"theta020","0.2","-166.9363086307076","19.999992","0.833333","12.5","10.83","0.1077032961426901","10.874901"
"theta020","0.2","-166.9363086307076","19.999992","0.833333","17.5","10.75","0.1077032961426901","10.9285555"
"theta020","0.2","-166.9363086307076","21.0","0.875","2.5","10.00","0.1077032961426901","10.1300955"
