"case","theta0","psi_ic_m","time_h","time_day","distance_cm","pH_obs","pH_measurement_sd"
"theta020","0.2","-166.9363086307076","73.999992","3.083333","17.5","11.23","0.1077032961426901"
"theta020","0.2","-166.9363086307076","75.0","3.125","2.5","3.41","0.1077032961426901"
"theta020","0.2","-166.9363086307076","75.0","3.125","7.5","10.70","0.1077032961426901"
"theta020","0.2","-166.9363086307076","75.0","3.125","12.5","11.04","0.1077032961426901"
"theta020","0.2","-166.9363086307076","75.0","3.125","17.5","11.11","0.1077032961426901"
"theta020","0.2","-166.9363086307076","76.000008","3.166667","2.5","3.37","0.1077032961426901"
"theta020","0.2","-166.9363086307076","76.000008","3.166667","7.5","10.80","0.1077032961426901"
"theta020","0.2","-166.9363086307076","76.000008","3.166667","12.5","11.13","0.1077032961426901"
"theta020","0.2","-166.9363086307076","76.000008","3.166667","17.5","11.23","0.1077032961426901"
"theta020","0.2","-166.9363086307076","76.999992","3.208333","2.5","3.31","0.1077032961426901"
"theta020","0.2","-166.9363086307076","76.999992","3.208333","7.5","10.71","0.1077032961426901"
"theta020","0.2","-166.9363086307076","76.999992","3.208333","12.5","11.09","0.1077032961426901"
"theta020","0.2","-166.9363086307076","76.999992","3.208333","17.5","11.22","0.1077032961426901"
"theta020","0.2","-166.9363086307076","78.0","3.25","2.5","3.30","0.1077032961426901"
"theta020","0.2","-166.9363086307076","78.0","3.25","7.5","10.80","0.1077032961426901"
"theta020","0.2","-166.9363086307076","78.0","3.25","12.5","11.04","0.1077032961426901"
"theta020","0.2","-166.9363086307076","78.0","3.25","17.5","11.13","0.1077032961426901"
"theta020","0.2","-166.9363086307076","79.000008","3.291667","2.5","3.41","0.1077032961426901"
"theta020","0.2","-166.9363086307076","79.000008","3.291667","7.5","10.73","0.1077032961426901"
"theta020","0.2","-166.9363086307076","79.000008","3.291667","12.5","11.04","0.1077032961426901"
"theta020","0.2","-166.9363086307076","79.000008","3.291667","17.5","11.22","0.1077032961426901"
"theta020","0.2","-166.9363086307076","79.999992","3.333333","2.5","3.29","0.1077032961426901"
"theta020","0.2","-166.9363086307076","79.999992","3.333333","7.5","10.75","0.1077032961426901"
"theta020","0.2","-166.9363086307076","79.999992","3.333333","12.5","11.08","0.1077032961426901"
"theta020","0.2","-166.9363086307076","79.999992","3.333333","17.5","11.19","0.1077032961426901"
"theta020","0.2","-166.9363086307076","81.0","3.375","2.5","3.26","0.1077032961426901"
"theta020","0.2","-166.9363086307076","81.0","3.375","7.5","10.74","0.1077032961426901"
"theta020","0.2","-166.9363086307076","81.0","3.375","12.5","11.15","0.1077032961426901"
"theta020","0.2","-166.9363086307076","81.0","3.375","17.5","11.18","0.1077032961426901"
"theta020","0.2","-166.9363086307076","82.000008","3.416667","2.5","3.28","0.1077032961426901"
"theta020","0.2","-166.9363086307076","82.000008","3.416667","7.5","10.65","0.1077032961426901"
"theta020","0.2","-166.9363086307076","82.000008","3.416667","12.5","11.07","0.1077032961426901"
"theta020","0.2","-166.9363086307076","82.000008","3.416667","17.5","11.15","0.1077032961426901"
"theta020","0.2","-166.9363086307076","82.999992","3.458333","2.5","3.29","0.1077032961426901"
"theta020","0.2","-166.9363086307076","82.999992","3.458333","7.5","10.80","0.1077032961426901"
"theta020","0.2","-166.9363086307076","82.999992","3.458333","12.5","11.15","0.1077032961426901"
"theta020","0.2","-166.9363086307076","82.999992","3.458333","17.5","11.24","0.1077032961426901"
"theta020","0.2","-166.9363086307076","84.0","3.5","2.5","3.22","0.1077032961426901"
"theta020","0.2","-166.9363086307076","84.0","3.5","7.5","10.74","0.1077032961426901"
"theta020","0.2","-166.9363086307076","84.0","3.5","12.5","11.13","0.1077032961426901"
"theta020","0.2","-166.9363086307076","84.0","3.5","17.5","11.22","0.1077032961426901"
"theta020","0.2","-166.9363086307076","85.000008","3.541667","2.5","3.27","0.1077032961426901"
"theta020","0.2","-166.9363086307076","85.000008","3.541667","7.5","10.72","0.1077032961426901"
"theta020","0.2","-166.9363086307076","85.000008","3.541667","12.5","11.18","0.1077032961426901"
"theta020","0.2","-166.9363086307076","85.000008","3.541667","17.5","11.15","0.1077032961426901"
"theta020","0.2","-166.9363086307076","85.999992","3.583333","2.5","3.23","0.1077032961426901"
"theta020","0.2","-166.9363086307076","85.999992","3.583333","7.5","10.70","0.1077032961426901"
"theta020","0.2","-166.9363086307076","85.999992","3.583333","12.5","11.01","0.1077032961426901"
"theta020","0.2","-166.9363086307076","85.999992","3.583333","17.5","11.26","0.1077032961426901"
"theta020","0.2","-166.9363086307076","87.0","3.625","2.5","3.14","0.1077032961426901"
"theta020","0.2","-166.9363086307076","87.0","3.625","7.5","10.68","0.1077032961426901"
"theta020","0.2","-166.9363086307076","87.0","3.625","12.5","11.14","0.1077032961426901"
"theta020","0.2","-166.9363086307076","87.0","3.625","17.5","11.34","0.1077032961426901"
"theta020","0.2","-166.9363086307076","88.000008","3.666667","2.5","3.16","0.1077032961426901"
"theta020","0.2","-166.9363086307076","88.000008","3.666667","7.5","10.71","0.1077032961426901"
"theta020","0.2","-166.9363086307076","88.000008","3.666667","12.5","11.17","0.1077032961426901"
"theta020","0.2","-166.9363086307076","88.000008","3.666667","17.5","11.27","0.1077032961426901"
"theta020","0.2","-166.9363086307076","88.999992","3.708333","2.5","3.21","0.1077032961426901"
"theta020","0.2","-166.9363086307076","88.999992","3.708333","7.5","10.69","0.1077032961426901"
"theta020","0.2","-166.9363086307076","88.999992","3.708333","12.5","11.21","0.1077032961426901"
"theta020","0.2","-166.9363086307076","88.999992","3.708333","17.5","11.24","0.1077032961426901"
"theta020","0.2","-166.9363086307076","90.0","3.75","2.5","3.15","0.1077032961426901"
"theta020","0.2","-166.9363086307076","90.0","3.75","7.5","10.67","0.1077032961426901"
"theta020","0.2","-166.9363086307076","90.0","3.75","12.5","11.05","0.1077032961426901"
"theta020","0.2","-166.9363086307076","90.0","3.75","17.5","11.18","0.1077032961426901"
"theta020","0.2","-166.9363086307076","91.000008","3.791667","2.5","3.13","0.1077032961426901"
"theta020","0.2","-166.9363086307076","91.000008","3.791667","7.5","10.61","0.1077032961426901"
"theta020","0.2","-166.9363086307076","91.000008","3.791667","12.5","11.05","0.1077032961426901"
"theta020","0.2","-166.9363086307076","91.000008","3.791667","17.5","11.21","0.1077032961426901"
"theta020","0.2","-166.9363086307076","91.999992","3.833333","2.5","3.07","0.1077032961426901"
"theta020","0.2","-166.9363086307076","91.999992","3.833333","7.5","10.63","0.1077032961426901"
"theta020","0.2","-166.9363086307076","91.999992","3.833333","12.5","11.17","0.1077032961426901"
"theta020","0.2","-166.9363086307076","91.999992","3.833333","17.5","11.26","0.1077032961426901"
"theta020","0.2","-166.9363086307076","93.0","3.875","2.5","3.01","0.1077032961426901"
"theta020","0.2","-166.9363086307076","93.0","3.875","7.5","10.65","0.1077032961426901"
"theta020","0.2","-166.9363086307076","93.0","3.875","12.5","11.07","0.1077032961426901"
"theta020","0.2","-166.9363086307076","93.0","3.875","17.5","11.34","0.1077032961426901"
"theta020","0.2","-166.9363086307076","94.000008","3.916667","2.5","3.15","0.1077032961426901"
"theta020","0.2","-166.9363086307076","94.000008","3.916667","7.5","10.64","0.1077032961426901"
"theta020","0.2","-166.9363086307076","94.000008","3.916667","12.5","11.18","0.1077032961426901"
"theta020","0.2","-166.9363086307076","94.000008","3.916667","17.5","11.21","0.1077032961426901"
"theta020","0.2","-166.9363086307076","94.999992","3.958333","2.5","3.15","0.1077032961426901"
"theta020","0.2","-166.9363086307076","94.999992","3.958333","7.5","10.62","0.1077032961426901"
"theta020","0.2","-166.9363086307076","94.999992","3.958333","12.5","11.09","0.1077032961426901"
"theta020","0.2","-166.9363086307076","94.999992","3.958333","17.5","11.30","0.1077032961426901"
"theta020","0.2","-166.9363086307076","96.0","4.0","2.5","3.09","0.1077032961426901"
"theta020","0.2","-166.9363086307076","96.0","4.0","7.5","10.59","0.1077032961426901"
"theta020","0.2","-166.9363086307076","96.0","4.0","12.5","11.14","0.1077032961426901"
"theta020","0.2","-166.9363086307076","96.0","4.0","17.5","11.26","0.1077032961426901"
"theta020","0.2","-166.9363086307076","96.999984","4.041666","2.5","3.09","0.1077032961426901"
"theta020","0.2","-166.9363086307076","96.999984","4.041666","7.5","10.51","0.1077032961426901"
"theta020","0.2","-166.9363086307076","96.999984","4.041666","12.5","11.12","0.1077032961426901"
"theta020","0.2","-166.9363086307076","96.999984","4.041666","17.5","11.30","0.1077032961426901"
"theta020","0.2","-166.9363086307076","98.000016","4.083334","2.5","3.03","0.1077032961426901"
"theta020","0.2","-166.9363086307076","98.000016","4.083334","7.5","10.57","0.1077032961426901"
"theta020","0.2","-166.9363086307076","98.000016","4.083334","12.5","11.12","0.1077032961426901"
"theta020","0.2","-166.9363086307076","98.000016","4.083334","17.5","11.28","0.1077032961426901"
"theta020","0.2","-166.9363086307076","99.0","4.125","2.5","3.07","0.1077032961426901"
"theta020","0.2","-166.9363086307076","99.0","4.125","7.5","10.52","0.1077032961426901"
"theta020","0.2","-166.9363086307076","99.0","4.125","12.5","11.13","0.1077032961426901"
"theta020","0.2","-166.9363086307076","99.0","4.125","17.5","11.34","0.1077032961426901"
"theta020","0.2","-166.9363086307076","99.999984","4.166666","2.5","3.16","0.1077032961426901"
"theta020","0.2","-166.9363086307076","99.999984","4.166666","7.5","10.55","0.1077032961426901"
"theta020","0.2","-166.9363086307076","99.999984","4.166666","12.5","11.20","0.1077032961426901"
"theta020","0.2","-166.9363086307076","99.999984","4.166666","17.5","11.16","0.1077032961426901"
"theta020","0.2","-166.9363086307076","101.000016","4.208334","2.5","3.07","0.1077032961426901"
"theta020","0.2","-166.9363086307076","101.000016","4.208334","7.5","10.57","0.1077032961426901"
"theta020","0.2","-166.9363086307076","101.000016","4.208334","12.5","11.09","0.1077032961426901"
"theta020","0.2","-166.9363086307076","101.000016","4.208334","17.5","11.31","0.1077032961426901"
"theta020","0.2","-166.9363086307076","102.0","4.25","2.5","2.97","0.1077032961426901"
"theta020","0.2","-166.9363086307076","102.0","4.25","7.5","10.46","0.1077032961426901"
"theta020","0.2","-166.9363086307076","102.0","4.25","12.5","11.12","0.1077032961426901"
"theta020","0.2","-166.9363086307076","102.0","4.25","17.5","11.31","0.1077032961426901"
"theta020","0.2","-166.9363086307076","102.999984","4.291666","2.5","2.98","0.1077032961426901"
"theta020","0.2","-166.9363086307076","102.999984","4.291666","7.5","10.51","0.1077032961426901"
"theta020","0.2","-166.9363086307076","102.999984","4.291666","12.5","11.14","0.1077032961426901"
"theta020","0.2","-166.9363086307076","102.999984","4.291666","17.5","11.33","0.1077032961426901"
"theta020","0.2","-166.9363086307076","104.000016","4.333334","2.5","2.97","0.1077032961426901"
"theta020","0.2","-166.9363086307076","104.000016","4.333334","7.5","10.51","0.1077032961426901"
"theta020","0.2","-166.9363086307076","104.000016","4.333334","12.5","11.14","0.1077032961426901"
"theta020","0.2","-166.9363086307076","104.000016","4.333334","17.5","11.21","0.1077032961426901"
"theta020","0.2","-166.9363086307076","105.0","4.375","2.5","3.02","0.1077032961426901"
"theta020","0.2","-166.9363086307076","105.0","4.375","7.5","10.50","0.1077032961426901"
"theta020","0.2","-166.9363086307076","105.0","4.375","12.5","11.11","0.1077032961426901"
"theta020","0.2","-166.9363086307076","105.0","4.375","17.5","11.27","0.1077032961426901"
"theta020","0.2","-166.9363086307076","105.999984","4.416666","2.5","3.01","0.1077032961426901"
"theta020","0.2","-166.9363086307076","105.999984","4.416666","7.5","10.50","0.1077032961426901"
"theta020","0.2","-166.9363086307076","105.999984","4.416666","12.5","11.20","0.1077032961426901"
"theta020","0.2","-166.9363086307076","105.999984","4.416666","17.5","11.35","0.1077032961426901"
"theta020","0.2","-166.9363086307076","107.000016","4.458334","2.5","3.00","0.1077032961426901"
"theta020","0.2","-166.9363086307076","107.000016","4.458334","7.5","10.50","0.1077032961426901"
"theta020","0.2","-166.9363086307076","107.000016","4.458334","12.5","11.15","0.1077032961426901"
"theta020","0.2","-166.9363086307076","107.000016","4.458334","17.5","11.30","0.1077032961426901"
"theta020","0.2","-166.9363086307076","108.0","4.5","2.5","2.95","0.1077032961426901"
"theta020","0.2","-166.9363086307076","108.0","4.5","7.5","10.45","0.1077032961426901"
"theta020","0.2","-166.9363086307076","108.0","4.5","12.5","11.17","0.1077032961426901"
"theta020","0.2","-166.9363086307076","108.0","4.5","17.5","11.24","0.1077032961426901"
"theta020","0.2","-166.9363086307076","108.999984","4.541666","2.5","3.04","0.1077032961426901"
"theta020","0.2","-166.9363086307076","108.999984","4.541666","7.5","10.40","0.1077032961426901"
"theta020","0.2","-166.9363086307076","108.999984","4.541666","12.5","11.22","0.1077032961426901"
"theta020","0.2","-166.9363086307076","108.999984","4.541666","17.5","11.28","0.1077032961426901"
"theta020","0.2","-166.9363086307076","110.000016","4.583334","2.5","3.03","0.1077032961426901"
"theta020","0.2","-166.9363086307076","110.000016","4.583334","7.5","10.37","0.1077032961426901"
"theta020","0.2","-166.9363086307076","110.000016","4.583334","12.5","11.09","0.1077032961426901"
"theta020","0.2","-166.9363086307076","110.000016","4.583334","17.5","11.35","0.1077032961426901"
"theta020","0.2","-166.9363086307076","111.0","4.625","2.5","3.04","0.1077032961426901"
"theta020","0.2","-166.9363086307076","111.0","4.625","7.5","10.34","0.1077032961426901"
"theta020","0.2","-166.9363086307076","111.0","4.625","12.5","11.30","0.1077032961426901"
"theta020","0.2","-166.9363086307076","111.0","4.625","17.5","11.30","0.1077032961426901"
"theta020","0.2","-166.9363086307076","111.999984","4.666666","2.5","2.93","0.1077032961426901"
"theta020","0.2","-166.9363086307076","111.999984","4.666666","7.5","10.41","0.1077032961426901"
"theta020","0.2","-166.9363086307076","111.999984","4.666666","12.5","11.10","0.1077032961426901"
"theta020","0.2","-166.9363086307076","111.999984","4.666666","17.5","11.33","0.1077032961426901"
"theta020","0.2","-166.9363086307076","113.000016","4.708334","2.5","2.93","0.1077032961426901"
"theta020","0.2","-166.9363086307076","113.000016","4.708334","7.5","10.34","0.1077032961426901"
"theta020","0.2","-166.9363086307076","113.000016","4.708334","12.5","11.10","0.1077032961426901"
"theta020","0.2","-166.9363086307076","113.000016","4.708334","17.5","11.35","0.1077032961426901"
"theta020","0.2","-166.9363086307076","114.0","4.75","2.5","3.02","0.1077032961426901"
"theta020","0.2","-166.9363086307076","114.0","4.75","7.5","10.22","0.1077032961426901"
"theta020","0.2","-166.9363086307076","114.0","4.75","12.5","11.16","0.1077032961426901"
"theta020","0.2","-166.9363086307076","114.0","4.75","17.5","11.38","0.1077032961426901"
"theta020","0.2","-166.9363086307076","114.999984","4.791666","2.5","2.95","0.1077032961426901"
"theta020","0.2","-166.9363086307076","114.999984","4.791666","7.5","10.22","0.1077032961426901"
"theta020","0.2","-166.9363086307076","114.999984","4.791666","12.5","11.16","0.1077032961426901"
"theta020","0.2","-166.9363086307076","114.999984","4.791666","17.5","11.29","0.1077032961426901"
"theta020","0.2","-166.9363086307076","116.000016","4.833334","2.5","2.95","0.1077032961426901"
"theta020","0.2","-166.9363086307076","116.000016","4.833334","7.5","10.21","0.1077032961426901"
"theta020","0.2","-166.9363086307076","116.000016","4.833334","12.5","11.04","0.1077032961426901"
"theta020","0.2","-166.9363086307076","116.000016","4.833334","17.5","11.43","0.1077032961426901"
"theta020","0.2","-166.9363086307076","117.0","4.875","2.5","3.03","0.1077032961426901"
"theta020","0.2","-166.9363086307076","117.0","4.875","7.5","10.27","0.1077032961426901"
"theta020","0.2","-166.9363086307076","117.0","4.875","12.5","11.07","0.1077032961426901"
"theta020","0.2","-166.9363086307076","117.0","4.875","17.5","11.37","0.1077032961426901"
"theta020","0.2","-166.9363086307076","117.999984","4.916666","2.5","2.91","0.1077032961426901"
"theta020","0.2","-166.9363086307076","117.999984","4.916666","7.5","10.18","0.1077032961426901"
"theta020","0.2","-166.9363086307076","117.999984","4.916666","12.5","11.12","0.1077032961426901"
"theta020","0.2","-166.9363086307076","117.999984","4.916666","17.5","11.33","0.1077032961426901"
"theta020","0.2","-166.9363086307076","119.000016","4.958334","2.5","2.99","0.1077032961426901"
"theta020","0.2","-166.9363086307076","119.000016","4.958334","7.5","10.13","0.1077032961426901"
"theta020","0.2","-166.9363086307076","119.000016","4.958334","12.5","11.14","0.1077032961426901"
"theta020","0.2","-166.9363086307076","119.000016","4.958334","17.5","11.30","0.1077032961426901"
"theta020","0.2","-166.9363086307076","120.0","5.0","2.5","2.95","0.1077032961426901"
"theta020","0.2","-166.9363086307076","120.0","5.0","7.5","10.16","0.1077032961426901"
"theta020","0.2","-166.9363086307076","120.0","5.0","12.5","11.10","0.1077032961426901"
"theta020","0.2","-166.9363086307076","120.0","5.0","17.5","11.40","0.1077032961426901"
"theta047","0.47","-16.33394573035923","0.0","0.0","2.5","7.04","0.1077032961426901"
"theta047","0.47","-16.33394573035923","0.0","0.0","7.5","7.05","0.1077032961426901"
"theta047","0.47","-16.33394573035923","0.0","0.0","12.5","6.94","0.1077032961426901"
"theta047","0.47","-16.33394573035923","0.0","0.0","17.5","6.98","0.1077032961426901"
"theta047","0.47","-16.33394573035923","1.000008","0.041667","2.5","9.33","0.1077032961426901"
"theta047","0.47","-16.33394573035923","1.000008","0.041667","7.5","10.94","0.1077032961426901"
"theta047","0.47","-16.33394573035923","1.000008","0.041667","12.5","11.19","0.1077032961426901"
"theta047","0.47","-16.33394573035923","1.000008","0.041667","17.5","11.43","0.1077032961426901"
"theta047","0.47","-16.33394573035923","1.999992","0.083333","2.5","8.96","0.1077032961426901"
"theta047","0.47","-16.33394573035923","1.999992","0.083333","7.5","10.85","0.1077032961426901"
"theta047","0.47","-16.33394573035923","1.999992","0.083333","12.5","11.09","0.1077032961426901"
"theta047","0.47","-16.33394573035923","1.999992","0.083333","17.5","11.39","0.1077032961426901"
"theta047","0.47","-16.33394573035923","3.0","0.125","2.5","5.67","0.1077032961426901"
"theta047","0.47","-16.33394573035923","3.0","0.125","7.5","10.87","0.1077032961426901"
"theta047","0.47","-16.33394573035923","3.0","0.125","12.5","11.14","0.1077032961426901"
"theta047","0.47","-16.33394573035923","3.0","0.125","17.5","11.30","0.1077032961426901"
"theta047","0.47","-16.33394573035923","4.000008","0.166667","2.5","4.85","0.1077032961426901"
"theta047","0.47","-16.33394573035923","4.000008","0.166667","7.5","10.93","0.1077032961426901"
"theta047","0.47","-16.33394573035923","4.000008","0.166667","12.5","11.20","0.1077032961426901"
"theta047","0.47","-16.33394573035923","4.000008","0.166667","17.5","11.40","0.1077032961426901"
"theta047","0.47","-16.33394573035923","4.999992","0.208333","2.5","4.56","0.1077032961426901"
"theta047","0.47","-16.33394573035923","4.999992","0.208333","7.5","10.81","0.1077032961426901"
"theta047","0.47","-16.33394573035923","4.999992","0.208333","12.5","11.16","0.1077032961426901"
"theta047","0.47","-16.33394573035923","4.999992","0.208333","17.5","11.32","0.1077032961426901"
"theta047","0.47","-16.33394573035923","6.0","0.25","2.5","4.44","0.1077032961426901"
"theta047","0.47","-16.33394573035923","6.0","0.25","7.5","10.75","0.1077032961426901"
"theta047","0.47","-16.33394573035923","6.0","0.25","12.5","11.14","0.1077032961426901"
"theta047","0.47","-16.33394573035923","6.0","0.25","17.5","11.29","0.1077032961426901"
"theta047","0.47","-16.33394573035923","7.000008","0.291667","2.5","4.27","0.1077032961426901"
"theta047","0.47","-16.33394573035923","7.000008","0.291667","7.5","10.79","0.1077032961426901"
"theta047","0.47","-16.33394573035923","7.000008","0.291667","12.5","11.09","0.1077032961426901"
"theta047","0.47","-16.33394573035923","7.000008","0.291667","17.5","11.28","0.1077032961426901"
"theta047","0.47","-16.33394573035923","7.999992","0.333333","2.5","4.20","0.1077032961426901"
"theta047","0.47","-16.33394573035923","7.999992","0.333333","7.5","10.81","0.1077032961426901"
"theta047","0.47","-16.33394573035923","7.999992","0.333333","12.5","11.24","0.1077032961426901"
"theta047","0.47","-16.33394573035923","7.999992","0.333333","17.5","11.28","0.1077032961426901"
"theta047","0.47","-16.33394573035923","9.0","0.375","2.5","4.14","0.1077032961426901"
"theta047","0.47","-16.33394573035923","9.0","0.375","7.5","10.83","0.1077032961426901"
"theta047","0.47","-16.33394573035923","9.0","0.375","12.5","11.11","0.1077032961426901"
"theta047","0.47","-16.33394573035923","9.0","0.375","17.5","11.34","0.1077032961426901"
"theta047","0.47","-16.33394573035923","10.000008","0.416667","2.5","4.04","0.1077032961426901"
"theta047","0.47","-16.33394573035923","10.000008","0.416667","7.5","10.86","0.1077032961426901"
"theta047","0.47","-16.33394573035923","10.000008","0.416667","12.5","11.08","0.1077032961426901"
"theta047","0.47","-16.33394573035923","10.000008","0.416667","17.5","11.37","0.1077032961426901"
"theta047","0.47","-16.33394573035923","10.999992","0.458333","2.5","3.95","0.1077032961426901"
"theta047","0.47","-16.33394573035923","10.999992","0.458333","7.5","10.77","0.1077032961426901"
"theta047","0.47","-16.33394573035923","10.999992","0.458333","12.5","11.10","0.1077032961426901"
"theta047","0.47","-16.33394573035923","10.999992","0.458333","17.5","11.34","0.1077032961426901"
"theta047","0.47","-16.33394573035923","12.0","0.5","2.5","3.97","0.1077032961426901"
"theta047","0.47","-16.33394573035923","12.0","0.5","7.5","10.87","0.1077032961426901"
"theta047","0.47","-16.33394573035923","12.0","0.5","12.5","11.08","0.1077032961426901"
"theta047","0.47","-16.33394573035923","12.0","0.5","17.5","11.29","0.1077032961426901"
"theta047","0.47","-16.33394573035923","13.000008","0.541667","2.5","3.85","0.1077032961426901"
"theta047","0.47","-16.33394573035923","13.000008","0.541667","7.5","10.80","0.1077032961426901"
"theta047","0.47","-16.33394573035923","13.000008","0.541667","12.5","11.11","0.1077032961426901"
"theta047","0.47","-16.33394573035923","13.000008","0.541667","17.5","11.25","0.1077032961426901"
"theta047","0.47","-16.33394573035923","13.999992","0.583333","2.5","3.82","0.1077032961426901"
"theta047","0.47","-16.33394573035923","13.999992","0.583333","7.5","10.77","0.1077032961426901"
"theta047","0.47","-16.33394573035923","13.999992","0.583333","12.5","11.06","0.1077032961426901"
"theta047","0.47","-16.33394573035923","13.999992","0.583333","17.5","11.30","0.1077032961426901"
"theta047","0.47","-16.33394573035923","15.0","0.625","2.5","3.79","0.1077032961426901"
"theta047","0.47","-16.33394573035923","15.0","0.625","7.5","10.68","0.1077032961426901"
"theta047","0.47","-16.33394573035923","15.0","0.625","12.5","11.14","0.1077032961426901"
"theta047","0.47","-16.33394573035923","15.0","0.625","17.5","11.28","0.1077032961426901"
"theta047","0.47","-16.33394573035923","16.000008","0.666667","2.5","3.68","0.1077032961426901"
"theta047","0.47","-16.33394573035923","16.000008","0.666667","7.5","10.82","0.1077032961426901"
"theta047","0.47","-16.33394573035923","16.000008","0.666667","12.5","11.08","0.1077032961426901"
"theta047","0.47","-16.33394573035923","16.000008","0.666667","17.5","11.30","0.1077032961426901"
"theta047","0.47","-16.33394573035923","16.999992","0.708333","2.5","3.70","0.1077032961426901"
"theta047","0.47","-16.33394573035923","16.999992","0.708333","7.5","10.75","0.1077032961426901"
"theta047","0.47","-16.33394573035923","16.999992","0.708333","12.5","11.14","0.1077032961426901"
"theta047","0.47","-16.33394573035923","16.999992","0.708333","17.5","11.29","0.1077032961426901"
"theta047","0.47","-16.33394573035923","18.0","0.75","2.5","3.69","0.1077032961426901"
"theta047","0.47","-16.33394573035923","18.0","0.75","7.5","10.71","0.1077032961426901"
"theta047","0.47","-16.33394573035923","18.0","0.75","12.5","11.15","0.1077032961426901"
"theta047","0.47","-16.33394573035923","18.0","0.75","17.5","11.27","0.1077032961426901"
"theta047","0.47","-16.33394573035923","19.000008","0.791667","2.5","3.64","0.1077032961426901"
"theta047","0.47","-16.33394573035923","19.000008","0.791667","7.5","10.77","0.1077032961426901"
"theta047","0.47","-16.33394573035923","19.000008","0.791667","12.5","11.12","0.1077032961426901"
"theta047","0.47","-16.33394573035923","19.000008","0.791667","17.5","11.25","0.1077032961426901"
"theta047","0.47","-16.33394573035923","19.999992","0.833333","2.5","3.62","0.1077032961426901"
"theta047","0.47","-16.33394573035923","19.999992","0.833333","7.5","10.72","0.1077032961426901"
"theta047","0.47","-16.33394573035923","19.999992","0.833333","12.5","10.97","0.1077032961426901"
"theta047","0.47","-16.33394573035923","19.999992","0.833333","17.5","11.25","0.1077032961426901"
"theta047","0.47","-16.33394573035923","21.0","0.875","2.5","3.65","0.1077032961426901"
"theta047","0.47","-16.33394573035923","21.0","0.875","7.5","10.68","0.1077032961426901"
"theta047","0.47","-16.33394573035923","21.0","0.875","12.5","11.02","0.1077032961426901"
"theta047","0.47","-16.33394573035923","21.0","0.875","17.5","11.31","0.1077032961426901"
"theta047","0.47","-16.33394573035923","22.000008","0.916667","2.5","3.67","0.1077032961426901"
"theta047","0.47","-16.33394573035923","22.000008","0.916667","7.5","10.69","0.1077032961426901"
"theta047","0.47","-16.33394573035923","22.000008","0.916667","12.5","11.09","0.1077032961426901"
"theta047","0.47","-16.33394573035923","22.000008","0.916667","17.5","11.32","0.1077032961426901"
"theta047","0.47","-16.33394573035923","22.999992","0.958333","2.5","3.62","0.1077032961426901"
"theta047","0.47","-16.33394573035923","22.999992","0.958333","7.5","10.73","0.1077032961426901"
"theta047","0.47","-16.33394573035923","22.999992","0.958333","12.5","11.06","0.1077032961426901"
"theta047","0.47","-16.33394573035923","22.999992","0.958333","17.5","11.22","0.1077032961426901"
"theta047","0.47","-16.33394573035923","24.0","1.0","2.5","3.62","0.1077032961426901"
"theta047","0.47","-16.33394573035923","24.0","1.0","7.5","10.68","0.1077032961426901"
"theta047","0.47","-16.33394573035923","24.0","1.0","12.5","11.02","0.1077032961426901"
"theta047","0.47","-16.33394573035923","24.0","1.0","17.5","11.32","0.1077032961426901"
"theta047","0.47","-16.33394573035923","25.000008","1.041667","2.5","3.48","0.1077032961426901"
"theta047","0.47","-16.33394573035923","25.000008","1.041667","7.5","10.63","0.1077032961426901"
"theta047","0.47","-16.33394573035923","25.000008","1.041667","12.5","11.10","0.1077032961426901"
"theta047","0.47","-16.33394573035923","25.000008","1.041667","17.5","11.30","0.1077032961426901"
"theta047","0.47","-16.33394573035923","25.999992","1.083333","2.5","3.55","0.1077032961426901"
"theta047","0.47","-16.33394573035923","25.999992","1.083333","7.5","10.66","0.1077032961426901"
"theta047","0.47","-16.33394573035923","25.999992","1.083333","12.5","11.13","0.1077032961426901"
"theta047","0.47","-16.33394573035923","25.999992","1.083333","17.5","11.27","0.1077032961426901"
"theta047","0.47","-16.33394573035923","27.0","1.125","2.5","3.58","0.1077032961426901"
"theta047","0.47","-16.33394573035923","27.0","1.125","7.5","10.68","0.1077032961426901"
"theta047","0.47","-16.33394573035923","27.0","1.125","12.5","11.10","0.1077032961426901"
"theta047","0.47","-16.33394573035923","27.0","1.125","17.5","11.29","0.1077032961426901"
"theta047","0.47","-16.33394573035923","28.000008","1.166667","2.5","3.48","0.1077032961426901"
"theta047","0.47","-16.33394573035923","28.000008","1.166667","7.5","10.58","0.1077032961426901"
"theta047","0.47","-16.33394573035923","28.000008","1.166667","12.5","11.06","0.1077032961426901"
"theta047","0.47","-16.33394573035923","28.000008","1.166667","17.5","11.22","0.1077032961426901"
"theta047","0.47","-16.33394573035923","28.999992","1.208333","2.5","3.41","0.1077032961426901"
"theta047","0.47","-16.33394573035923","28.999992","1.208333","7.5","10.63","0.1077032961426901"
"theta047","0.47","-16.33394573035923","28.999992","1.208333","12.5","10.97","0.1077032961426901"
"theta047","0.47","-16.33394573035923","28.999992","1.208333","17.5","11.30","0.1077032961426901"
"theta047","0.47","-16.33394573035923","30.0","1.25","2.5","3.47","0.1077032961426901"
"theta047","0.47","-16.33394573035923","30.0","1.25","7.5","10.49","0.1077032961426901"
"theta047","0.47","-16.33394573035923","30.0","1.25","12.5","11.05","0.1077032961426901"
