"case","theta0","psi_ic_m","time_h","time_day","distance_cm","pH_obs","pH_measurement_sd"
"theta020","0.2","-166.9363086307076","39.0","1.625","2.5","5.22","0.1077032961426901"
"theta020","0.2","-166.9363086307076","39.0","1.625","7.5","10.81","0.1077032961426901"
"theta020","0.2","-166.9363086307076","39.0","1.625","12.5","11.00","0.1077032961426901"
"theta020","0.2","-166.9363086307076","39.0","1.625","17.5","10.89","0.1077032961426901"
"theta020","0.2","-166.9363086307076","40.000008","1.666667","2.5","4.85","0.1077032961426901"
"theta020","0.2","-166.9363086307076","40.000008","1.666667","7.5","10.89","0.1077032961426901"
"theta020","0.2","-166.9363086307076","40.000008","1.666667","12.5","10.95","0.1077032961426901"
"theta020","0.2","-166.9363086307076","40.000008","1.666667","17.5","10.95","0.1077032961426901"
"theta020","0.2","-166.9363086307076","40.999992000000006","1.708333","2.5","4.63","0.1077032961426901"
"theta020","0.2","-166.9363086307076","40.999992000000006","1.708333","7.5","10.85","0.1077032961426901"
"theta020","0.2","-166.9363086307076","40.999992000000006","1.708333","12.5","10.99","0.1077032961426901"
"theta020","0.2","-166.9363086307076","40.999992000000006","1.708333","17.5","10.96","0.1077032961426901"
"theta020","0.2","-166.9363086307076","42.0","1.75","2.5","4.52","0.1077032961426901"
"theta020","0.2","-166.9363086307076","42.0","1.75","7.5","10.85","0.1077032961426901"
"theta020","0.2","-166.9363086307076","42.0","1.75","12.5","10.93","0.1077032961426901"
"theta020","0.2","-166.9363086307076","42.0","1.75","17.5","11.06","0.1077032961426901"
"theta020","0.2","-166.9363086307076","43.000008","1.791667","2.5","4.34","0.1077032961426901"
"theta020","0.2","-166.9363086307076","43.000008","1.791667","7.5","10.72","0.1077032961426901"
"theta020","0.2","-166.9363086307076","43.000008","1.791667","12.5","10.99","0.1077032961426901"
"theta020","0.2","-166.9363086307076","43.000008","1.791667","17.5","11.04","0.1077032961426901"
"theta020","0.2","-166.9363086307076","43.999992000000006","1.833333","2.5","4.27","0.1077032961426901"
"theta020","0.2","-166.9363086307076","43.999992000000006","1.833333","7.5","10.84","0.1077032961426901"
"theta020","0.2","-166.9363086307076","43.999992000000006","1.833333","12.5","11.06","0.1077032961426901"
"theta020","0.2","-166.9363086307076","43.999992000000006","1.833333","17.5","10.91","0.1077032961426901"
"theta020","0.2","-166.9363086307076","45.0","1.875","2.5","4.17","0.1077032961426901"
"theta020","0.2","-166.9363086307076","45.0","1.875","7.5","10.81","0.1077032961426901"
"theta020","0.2","-166.9363086307076","45.0","1.875","12.5","11.00","0.1077032961426901"
"theta020","0.2","-166.9363086307076","45.0","1.875","17.5","10.91","0.1077032961426901"
"theta020","0.2","-166.9363086307076","46.000008","1.916667","2.5","4.07","0.1077032961426901"
"theta020","0.2","-166.9363086307076","46.000008","1.916667","7.5","10.76","0.1077032961426901"
